id,text,date,rating,title,clean_texts,sentiment
R2RG6RB6T0VYFN,"
  Felt like Cheap Chinese Headphones in some nice packing.Go for Sennheiser, I wasn't able to wear then single day.Pro - So Loud at full they can even bleed your ears too.Cons- High bass driven outshines the highs and the mids ( Vocals lie deep down that boom boom)- Not that comfortable to wear.- even design is So called hawk but it is not if comfort is considered.Choice is Yours.
",Reviewed in India on 20 April 2019,1,This boat won't let you Sail.,feel like cheap chinese headphone nice packing go sennheiser able wear single day pro loud full even bleed ear con high bass drive outshine high mid vocal lie deep boom boom comfortable wear even design call hawk comfort consider choice,positive
R1P4OV37DSXFBV,"
  Worst product ever. No bass no sound quality at all. If i get less than 1 star option i will give that.
",Reviewed in India on 4 September 2018,1,Waste of money,bad product ever bas sound quality get less 1 star option give,negative
RE18GKFEATL8F,"
  I have lotsn lood Earphones. I have bass heads 225 as well. To be honest this one is for a more casual use in bikes and travel etc and there's the problem.the wires are actually not looking that strong and the lack of L pattern jack actually makes it a problem for keeping pockets jeans and riding a bike.Sound burn in is extremely important and no one reviews that way because everyone will just buy and plugin and give the reviews the drivers need to be calibrated for any speaker earphone headphone anything for a minimum of 20hrs. I have kept it on olaymode for more than 8 hrs now and this is really good. Bass is real good and serves the purpose very very well.Major points1.its not as sturdy as bass heads 225 is atleast in the feel.2.the look n feel is not premium again compared to 2253.why they didnt give an L pattern jack they only know and it sucks4.price point is great just below 400.5.most importantly the brand presence and service is great.Buy it if u r a basshead and also the vocals are great. I always listen to Arijit Singh Laal ishq from Ramleela for testing any earphone and headphone its superb... Butbuf u have a little more budget go for 225One small note for the bikers... This will be a great in helmet choice as bass heads 225 will be a little pain on the ears within helmet as it has a little longer metal ear cap vent.
",Reviewed in India on 27 November 2018,3,Best earphones for a regular Awesome experience. Love boat,lotsn lood earphone bass head 225 well honest one casual use bike travel etc problem wire actually look strong lack l pattern jack actually make problem keep pocket jean ride bike sound burn extremely important one review way everyone buy plugin give review driver need calibrate speaker earphone headphone anything minimum 20hrs keep olaymode 8 hrs really good bass real good serve purpose well major points1 sturdy bass head 225 atleast feel 2 look n feel premium compare 2253 do not give l pattern jack know sucks4 price point great 400 5 importantly brand presence service great buy u r basshead also vocal great always listen arijit singh laal ishq ramleela test earphone headphone superb butbuf u little budget go 225one small note biker great helmet choice bass head 225 little pain ear within helmet little long metal ear cap vent,positive
R2TCW7SHRNJPQD,"
  honestly saying, i was influenced to buy this product from my friend who is already using this product. i opted this over sony as this product is giving better sounds than that. i purchased this product and after few days of using, the left earphone started to give odd sounds. it actually giving symptoms of not going to work in future, exactly what happened within  days. it completely stopped working.i thought a product defect and applied for warranty (used for one month). then i came to know that the same problem my friend is also facing with the same earphones. his earphones also got the same wire issue.so i better suggest you to not buy this product.thank you.
",Reviewed in India on 22 April 2019,1,better sound with lower life span,honestly say influence buy product friend already use product opt sony product give well sound purchase product day use leave earphone start give odd sound actually give symptom go work future exactly happen within day completely stop work think product defect apply warranty use one month come know problem friend also face earphone earphone also get wire issue better suggest buy product thank,negative
R1A4FUJVKF9UVX,"
  Quality is very good & Need to improve printed logo Of Mumbai Indians or you have to write Mumbai Indians it's faint.
",Reviewed in India on 10 April 2019,5,Quality,quality good need improve print logo mumbai indians write mumbai indians faint,negative
R15GOTSFWNNO32,"
  •  fast delivery and in good condition•  build quality or earphone is good and bass is excellent with this range• sound quality is good there is no pain in my ear even after continuously use or 1.30 hour
",Reviewed in India on 28 April 2019,4,Good build quality with nice bass,fast delivery good condition build quality earphone good bass excellent range sound quality good pain ear even continuously use 1 30 hour,positive
R37WADT4Q7NY6V,"
  I got this product for 399 rs and its worthy.Tho it's not as comfort as other earphones in our ears it gives you nice music and base is okay.Its more worth than your money I'd say if you buy it for 399
",Reviewed in India on 21 October 2018,5,Best in the budget segment,get product 399 r worthy tho comfort earphone ear give nice music base okay worth money say buy 399,positive
R21KRYNMH1UZ0S,"
  What I dislike about this earphone is its design. It is not at all ergonomic.There are some significant flaws. I write this, after having used Mi red phones which are in the same price range -300-400/-1. The ear buds are too small and don't give you that tight grip feel. It will fall off in the slightest of activity2. Position of mic: The mic is situated very low, at the point of intersection between 2 strings. It literally falls till you lower chest. So while talking on phone you have to hold the mic up manually near your mouth. In Mi earphones mic is placed near the right ear string, at a height near your face. That makes it easy to talk while earphones are on.3. The connecting cable at the point where you plugin to your phone is too long. That makes it prone to a lot of bending.This may cause early breakage.Having owned both earphones, I would recommend Mi over Boat.Voice quality is similar. Just above decent
",Reviewed in India on 9 August 2019,1,Design Flaws,dislike earphone design ergonomic significant flaw write use mi red phone price range 300 400 1 ear bud small give tight grip feel fall slight activity2 position mic mic situate low point intersection 2 string literally fall till low chest talk phone hold mic manually near mouth mi earphones mic place near right ear string height near face make easy talk earphone 3 connect cable point plugin phone long make prone lot bend may cause early breakage own earphone would recommend mi boat voice quality similar decent,negative
R1C6UEABY6CQ5B,"
  I bought it 3 months before was working fine suddenly it mic was not working I couldn't fond the reason I contact boat company even I have all my gadget from. Boat after my headphones u bought another one for my parentbut my one is stopped working reason is nothing the company is not ready for claim or warranty really upset the why I should go all my products with Boat so I stopped purchase it from boat
",Reviewed in India on 5 June 2019,1,Worst product waste of money,buy 3 month work fine suddenly mic work fond reason contact boat company even gadget boat headphone u buy another one parentbut one stop work reason nothing company ready claim warranty really upset go product boat stop purchase boat,negative
R3NIS3O5XSK3KM,"
  The product was very good for the first 10 days of my purchase but then after my calls getting disconnected automatically when headset is connected and few abnormalities happing when connected. Unfortunately the return date is expired. Don't know what to do.
",Reviewed in India on 13 December 2018,1,Not reliable,product good first 10 day purchase call get disconnect automatically headset connected abnormality happe connect unfortunately return date expire know,negative
R2CSS0OT92MTY3,"
  Actually there is nothing in the product that can be appreciated..The product is promoted on the basis of quality of extra bass which is totally a fake promotion. There is no bass..and the sound quality is also very disappointed..Overall the quality of the product is very cheap and below average....An earphone of costing Rs 50 has much better quality than this product....Its my humble request to you please stop cheating customers through these fake advertisement and promotions......
",Reviewed in India on 6 June 2019,1,Worst product I ever got....,actually nothing product appreciate product promote basis quality extra bass totally fake promotion bass sound quality also disappoint overall quality product cheap average earphone costing r 50 much well quality product humble request please stop cheat customer fake advertisement promotion,negative
R2S7B0RMI30J58,"
  Just two hours into listening music on this headset, and it is really at par with many of the reputed brands..I have been a fan of JBL head sets but, this one is also is at par with it but at a lesser price.. started to like boAt as a brand and lifestyle products manufacturer. Even the shape of the ear buds is different than regular rounded shapes...Good to see some different shaped head set.Got this one during the sale on Amazon, and I feel it's value for money.
",Reviewed in India on 9 November 2018,5,Good sound and bass..At par with JBL,two hour listen music headset really par many reputed brand fan jbl head set one also par less price start like boat brand lifestyle product manufacturer even shape ear bud different regular rounded shape good see different shaped head set get one sale amazon feel value money,positive
R3V5YD0N6IVFB3,"
  Bass is not good. The sound is just like as chinese low quality product.There is no instant refund policy, first they will provide you replacement which is not useful. If not satisfied then refund for returns will take long time may be 15-20 days. The seller does not care customer.
",Reviewed in India on 31 July 2019,1,"Not Good, don't fall with positive reviews",bass good sound like chinese low quality product instant refund policy first provide replacement useful satisfied refund return take long time may 15 20 day seller care customer,positive
R3OAQHQROH0HO3,"
  I bought this headphones on basis of Amazon Rating. But quite disappointed with quality of sound.I have used many headphones and I would say this one is worst I have ever bought.More details given below -Prons -Only PriceCons -Sound quality is really worstNot comfortable fit for earsCan't listen that very small background music which can be heard on some other good quality phone'sEar buds are of low quality and not softI would recommend not to buy only on basis of low price. Pay slightly more but buy good quality headphones.Definitely NO Go ! Don't buy !
",Reviewed in India on 4 September 2019,1,Don't Buy - Frank Feedback,buy headphone basis amazon rate quite disappointed quality sound use many headphone would say one bad ever buy detail give pron pricecon sound quality really worstnot comfortable fit earscan listen small background music hear good quality phone sear buds low quality softi would recommend buy basis low price pay slightly buy good quality headphone definitely go buy,negative
R3P07NFJLX00SB,"
  I had been using this earphones from last 1  week. It' been fine. The deleivery for this product was on time. The product was not fully protected though there was only box and amazon carry bag. I would like to tell you guys its pros and consPros:-Sound quality is great.Bass is well1) Treble is ok, somehow it is diminished by 2) High tones3) Buid quality is ok.4) Design is good.Thats all pros now lets move to cons:-…Less than 2 months of usage one side already stopped working.Sound is OK, but what good a product that has no life. Couldn't find a way to replace as well.No extra strains applied, always kept coiled with velcro strap.
",Reviewed in India on 23 January 2019,5,MUST READ THIS BEFORE YOU BUY,use earphone last 1 week fine deleivery product time product fully protect though box amazon carry bag would like tell guy pro conspro sound quality great bass well1 treble ok somehow diminish 2 high tones3 buid quality ok 4 design good that s pro let move con less 2 month usage one side already stop work sound ok good product life find way replace well extra strain apply always keep coil velcro strap,positive
R26IMVLZXN8R6C,"
  It is a decent product from boat, decent bass treble is good.If you want to buy a earphone that explodes with bass don't go for this one, but if you want clear punch and drum sound... then you should definitely buy this as its bass doesn't blend with treble and ruin the quality...Overall the nice product if you'll consider the price also.... I bought this at 399. Also oneore thing I like about the boat is that it gives the warranty of a year so if product stop working you can simply go to product complaint site and upload the bill within a week they schedule a pickup and exchange your earphone unlike other earphone products where you have to courier them by your own.
",Reviewed in India on 27 August 2020,4,Best earphone under 400,decent product boat decent bass treble good want buy earphone explode bass go one want clear punch drum sound definitely buy bass blend treble ruin quality overall nice product consider price also buy 399 also oneore thing like boat give warranty year product stop work simply go product complaint site upload bill within week schedule pickup exchange earphone unlike earphone product courier,positive
RXESJ0B8JMPNY,"
  Material qualityThe earphones come with extra in ear plugs for choosing the right size for your ear. Those extra plush do not fit the earphone. Only the one that the earphone comes attached to, works. The rest of them are useless, there by throwing the size selection out the window.SoundPersonal opinion, the sound felt a little hollow, as if I was in a room hearing background echo. The sounds are very much different from all other earphones and over head headphones I have used.Also tapping the wire give you a tap sound in the ear. So if you are moving and the wire brushes against your clothing or hand, you get a disturbance in your ear. This is something I have never experienced earlier.The microphone and pause/play button works well.DurabilityOverall looks a bit fragile. Will wait on this to see if it lasts.In conclusionThe earphones do the job, a little compromise on quality.
",Reviewed in India on 24 November 2018,3,"Good, Can be better",material qualitythe earphone come extra ear plug choose right size ear extra plush fit earphone one earphone come attach work rest useless throw size selection window soundpersonal opinion sound feel little hollow room hearing background echo sound much different earphone head headphone use also tap wire give tap sound ear move wire brush clothing hand get disturbance ear something never experience early microphone pause play button work well durabilityoverall look bit fragile wait see last conclusionthe earphone job little compromise quality,negative
RR5PK15OKAT87,"
  At this price best headphones.I bought this product 2 times same quality same performance.Boat, Amazon rock's.....
",Reviewed in India on 18 April 2019,5,Class at reasonable prices,price good headphone buy product 2 time quality performance boat amazon rock,positive
RCOYYBX1OCRE5,"
  This is a well-known brand and I did buy it cause of positive reviews. The earbuds keep falling off and the sound quality is not what I expected it to be. Would want to return it back. Not satisfied.
",Reviewed in India on 12 December 2018,1,"Good brand, not suitable for me",well know brand buy cause positive review earbud keep fall sound quality expect would want return back satisfied,positive
R3CDP2ALYTBFD6,"
  I dont know how people are rating this as 3+ above. For low quality headphone people who used this first time would be good. I'm using Sony headsets past 7-8Yrs n after seeing this rating 4+ I opted to buy, but after listening music of all tracks I regretted this purchase but my luck my other friend liked this red color and added 2 his collection.Add 400 more bucks and try Sony basic headset and you will realise the beats...If higher value then beats are hard..
",Reviewed in India on 20 August 2019,1,Bass is terrible,do not know people rate 3 low quality headphone people use first time would good use sony headset past 7 8yrs n see rating 4 opt buy listen music track regret purchase luck friend like red color add 2 collection add 400 buck try sony basic headset realise beat high value beat hard,negative
R105KKKYQT65K9,"
  Important: I love these earphones, very good quality and good mic, but every 2-3 months, one side of the earphones stop working.. so you have to replace it. Just ordering my 3rd set after 4 months.. but it’s worth the price, I mean if u buy 2000 rupees one it would still stop working after maybe 5-6 months... unless you buy a product which is like 5k, u would still have to keep replacing... but it’s worth the price.. thank you for reading, hope it helps..
",Reviewed in India on 27 July 2019,3,Good but requires replacement.. Read down please.,important love earphone good quality good mic every 2 3 month one side earphone stop work replace order 3rd set 4 month worth price mean u buy 2000 rupee one would still stop work maybe 5 6 month unless buy product like 5k u would still keep replace worth price thank read hope help,positive
